CANOIL PRODUCT AND CUSTOMER LIST
Generated: 2025-12-01 18:43:01

================================================================================
PRODUCTS WITH PACKAGING SIZES
================================================================================

Item No.,Description,Packaging Size,Stocking Units,Purchasing Units,Unit Weight,Status,Item Type,Stock,Recent Cost,Standard Cost
IRGAFOS168FF,Irgafos 168FF (2160426-K50K),"KG, KEG",KG,KEG,0,Active,Raw Material,0.000000,$30.685500,$30.685500
IRGAMET39,Irgamet 39 (2160433-D180K) - 180 kg / 396.8 lb drum,"180kg, Drum, KG",KG,DRUM,0,Active,Raw Material,127.720721,$46.534500,$0.000000
ITEM,Ledger entry dummy item,N/A,,,0,Active,Raw Material,0.000000,$1.000000,$1.000000
JARCLOSURE236ML,Grote 99180 - 236 ml tub/jar closure - 86700010,N/A,EA,EA,1,Active,Raw Material,140.000000,$0.000000,$0.000000
JOHNDAYCALCITE+C40,Day Distributing Calcite+ - 4×10×400 g tube case (G-2193-2),"Case, Tube, CASE40",CASE40,CASE40,1,Active,Assembled,0.000000,$126.872280,$0.000000
JOHNDAYCALCITE40TUBECASE,Day Distributing Calcite+ - 4×10×400 g tube case (G-2180-2),"Case, Tube, CASE40",CASE40,CASE40,1,Active,Assembled,0.000000,$135.512280,$105.483880
K-CORR NF-200 DRM,K-CORR NF-200 DRUM-420 lb,"Drum, LBS",LBS,DRUM,0,Active,Raw Material,0.000000,$10.111500,$10.111500
K-CORR SA-300,K-CORR SA-300 5 gal PAIL - 40 lb,"Pail, LBS",LBS,PAIL,0,Active,Raw Material,76.000000,$7.249500,$7.249500
K-OIL AERIOL SYN CASE,Kleenoil Aeriol Thixo Syn - 6×10×400 g case,Case,Case,Case,0,Active,Assembled,0.000000,$0.110240,$0.000000
K-OIL AERIOL THIXO SYN T,Kleenoil AFT Aeriol Thixo Syn - 400 g tube,Tube,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
K-OIL AERIOL THIXO TUBE,Kleenoil AFT Aeriol Thixo# 2 - 400 g tube,Tube,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
K-OIL AERIOL THIXO#2CASE,Kleenoil Aeriol Thixo#2 - 6×10×400 g case,"Case, CASE60",Case60,Case60,0,Active,Assembled,0.000000,$0.124020,$0.000000
K-OIL BLACK CAPS ADV FLU,Kleenoil AFT black cap,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
K-OIL POWERUP THIXO SYN,Kleenoil AFT PowerUp Thixo Syn2 - 400 g tube,Tube,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
K-OIL POWERUP THIXO#2 TU,Kleenoil AFT PowerUp Thixo#2 - 400 g tube,Tube,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
K-OIL PWRUP SYN CASE,Kleenoil PowerUp Thixo Syn - 6×10×400 g case,Case,Case,Case,0,Active,Assembled,0.000000,$0.110240,$0.000000
K-OIL PWRUP THIXO#2(ADV),K-Oil Adv Fluid Tech Powerup Thixo#2 60 X400 g Tube Case,"Case, Tube, CASE60",Case60,Case60,0,Active,Assembled,0.000000,$0.124020,$0.000000
KEGBLACK,55 kg Black Keg (Comlube Orders),"55kg, Keg",EA,EA,1,Active,Raw Material,0.000000,$32.850000,$32.850000
KEGLIDBLACK,"KEG LID BLACK 2"" CENTER FITTING",Keg,EA,EA,1,Active,Raw Material,0.000000,$10.350000,$10.350000
KEGLIDBLACKSOLID,"Keg Lid black solid for ""KEGBLACK"" (Comlube Orders)",Keg,EA,EA,0,Active,Raw Material,196.000000,$9.250000,$3.210000
KEGLINERS,KEGS LINERS - 8 mil thick,"Keg, BOX",Each,Box,1,Active,Raw Material,93.000000,$3.350000,$2.500000
KELZAN AP-AS BAG,KELZAN AP-AS BAG,"KG, BAG",KG,BAG,0,Active,Raw Material,37.000000,$49.928800,$30.000000
KINEC MOBIL DTE 732 DRM,KINECTRICS MOBIL DTE 732 DRUM - 208.2 L,"Drum, LITRE",LITRE,DRUM,0,Active,Raw Material,0.000000,$0.000000,$0.000000
KIT-GAL-PL,4 L Bottle- Caps Included (6 per box),"CANS, BOX",CANS,BOX,0,Active,Raw Material,0.000000,$12.825000,$12.825000
KIT-GAL-ST,1 Gal- Steel Can (4 per box),"CANS, BOX",CANS,BOX,0,Active,Raw Material,0.000000,$24.637500,$24.637500
KIT-QT-PL,1 Quart F Style Jug- Caps & Seals Included(12 per box),"CANS, BOX",CANS,BOX,0,Active,Raw Material,0.000000,$0.821250,$0.821250
KLEEN-OIL K55,KLEEN-OIL KEG-55 kg,"55kg, Keg",KEG,KEG,0,Active,Assembled,0.000000,$38.560000,$38.560000
KLEEN-OILPEN-12X12OZCASE,Kleen-Oil PEN-12x12oz CASE,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$6.415730,$7.513760
KLEEN-OILRCL-12X12OZCASE,Kleen-Oil R.C.L. 1000: 12x12oz CASE,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$23.867024,$23.855900
KLEENOIL,Kleenoil PowerUp ThixOgrease 2 - 6×10×400 g case,"Case, CASE60",CASE60,CASE60,1,Active,Assembled,0.000000,$0.120800,$0.081600
KLEENOIL-BLACK CAPS,Kleenoil black cap,BOX,EA,Box,1,Active,Raw Material,0.000000,$0.000000,$0.000000
KLEENOIL10UBLBL,Kleenoil PowerUp ThixOgrease 2 - Unit case label,Case,Each,Each,1,Active,Raw Material,0.000000,$0.000000,$0.000000
KLEENOIL30MB,Kleenoil 30-pack master box,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
KLEENOIL30MBLBL,Kleenoil PowerUp ThixOgrease 2 - Master case label,Case,Each,Each,1,Active,Raw Material,0.000000,$0.000000,$0.000000
KLEENOILTUBE,Kleenoil PowerUp ThixOgrease 2 - 400 g tube,"Tube, BOX",EA,BOX,1,Active,Raw Material,0.000000,$0.000000,$0.000000
KX1255 DRM,KX-1255 DRUM-425 lb,"Drum, LBS",LBS,DRUM,0,Active,Raw Material,319.000000,$11.907000,$12.042000
LABEL-3021041- 8.5X11,LABEL-3021041- 8.5X11 Sheet Label 1000/carton,CARTON,CARTON,CARTON,0,Active,Raw Material,0.000000,$579.487500,$579.487500
LABELSFORJAR,Grote 99180 - 236 ml tub/jar label - 86700036,N/A,EA,EA,1,Active,Raw Material,"11,655.000000",$0.000000,$0.000000
LABOR-Z,"Labor, Rate Z (Used for tracking labor time only, not cost)",HOUR,Hour,Hour,0,Active,Resource,0.000000,$0.000000,$0.000000
LABOUR,LABOUR,"1, HOUR",1,HOUR,0,Active,Raw Material,0.000000,$130.000000,$0.000000
LACTIC ACID 88 DRM,JIN LACTIC ACID 88% EXCELENT FCC DRUM-250 kg,"250kg, Drum, KG",KG,DRUM,0,Active,Raw Material,0.000000,$2.630000,$3.300000
LACTIC ACID 88 TOTE,LACTIC ACID 88% TOTE- 2700 lb,"LBS, TOTE",LBS,TOTE,0,Active,Raw Material,"2,149.000000",$1.300000,$0.000000
LANXESS40PACKMB,Amsoil 40-pack master box,N/A,EA,EA,1,Active,Raw Material,"1,495.750000",$0.000000,$0.000000
LANXESSCAPS,"Lanxess black cap (Shell, GRXDP680CR, GLCCR, GWRCR orders)",BOX,EA,Box,1,Active,Raw Material,"55,551.000000",$0.000000,$0.000000
LANXESSMB50PACK,"Lanxess master box - 50-pack, brown (SKU 58337801)",N/A,EA,EA,1,Active,Raw Material,625.000000,$0.000000,$0.000000
LANXESSMB60PACK,"Lanxess master box - 60-pack, brown (SKU 58337437)",N/A,EA,EA,1,Active,Raw Material,"1,416.000000",$0.000000,$0.000000
LANXESSUB10PACK,"Lanxess unit box folding flap - 10-pack, brown (SKU 58337192",N/A,EA,EA,1,Active,Raw Material,677.000000,$0.000000,$0.000000
LASER 1LX6PK,LASER 1LX6PK ,N/A,EA,EA,0,Active,Raw Material,181.000000,$0.787000,$0.000000
LAUZON 30X400G TUBE CASE,Canoil Heavy Duty EP2 - 3×10×400 g case (G-2193-2),Case,CASE,CASE,1,Active,Assembled,0.000000,$0.000000,$70.598740
LBL DIESEL EIC TIN-BACK,LBL DIESEL EIC TIN CAN 1L-BACK,N/A,EA,EA,0,Active,Raw Material,"1,784.000000",$0.109400,$0.000000
LBL DIESEL EIC TIN-FRONT,LBL DIESEL EIC TIN CAN 1L-FRONT,N/A,EA,EA,0,Active,Raw Material,"1,625.000000",$0.109400,$0.000000
LBL PETROL EIC TIN-BACK,LBL PETROL (GAS) EIC TIN CAN 1L-BACK,N/A,EA,EA,0,Active,Raw Material,234.000000,$0.109400,$0.000000
LBL PETROL EIC TIN-FRONT,LBL PETROL (GAS) EIC TIN CAN 1L-FRONT,N/A,EA,EA,0,Active,Raw Material,208.000000,$0.109400,$0.000000
LBRZ5034ADRM,Lubrizol 5034A - Drum,"Drum, KG",KG,DRUM,1,Active,Raw Material,25.600000,$24.495300,$24.495300
LBRZ5060DRM,Lubrizol 5060 - Drum,"Drum, KG",KG,DRUM,0,Active,Raw Material,0.000000,$18.752005,$14.009000
LBRZ6430DRM,Lubrizol 6430 - 183 kg / 205 L drum,"183kg, Drum, KG",KG,DRUM,1,Active,Raw Material,17.000000,$38.346776,$16.300500
LBRZ6446DRM,Lubrizol 6446 - 245 kg drum,"245kg, Drum, KG",KG,DRUM,1,Active,Raw Material,27.553290,$34.437714,$14.224400
LIGHT MINERAL OIL NF 70,SVT SAVONOL LIGHT MINERAL OIL NF 70 ( 264.2 US gal ) TOTES,"GALLON, TOTE",GALLON,TOTE,0,Active,Raw Material,126.830000,$4.725000,$0.000000
LL PEN LUB FG H1 12X350C,Lubri-Lab PEN LUBE FG H1 12x350 g Case,Case,Case,Case,0,Active,Assembled,0.000000,$2.672860,$0.000000
LL PEN LUB FG H1 DRUM,Lubri-Lab PEN LUBE FG H1 DRUM-205 Liters,"Drum, LITERS",Liters,Drum,0,Active,Raw Material,0.000000,$0.000000,$0.000000
LL PEN LUB FG H1 LABEL,Lubri-Lab PEN LUBE FG H1 Label (Spray Can+Carton),N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
LL PEN LUB REG DRUM,Lubri-Lab PEN LUBE Regular DRUM-205 Liters,"Drum, LITERS",Liters,Drum,0,Active,Raw Material,0.000000,$0.000000,$0.000000
LL PEN LUB REG LABEL,Lubri-Lab PEN LUBE Regular Label (Spray Can+Carton),N/A,EA,EA,0,Active,Raw Material,"2,505.000000",$0.000000,$0.000000
LL PEN LUB REG12X350G CS,Lubri-Lab PEN LUBE REGULAR 12x350 g Case,Case,Case,Case,1,Active,Assembled,0.000000,$3.219607,$0.000000
LLT5EP2-10PK,Lubri-Lab Top 5 EP2 - 10-pack unit box,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LLT5EP2-50PK,Lubri-Lab Top 5 EP2 - 50-pack master box,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LLT5EP2-50PKLBL,Lubri-Lab Top 5 EP2 - 50-pack master box product label,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LLT5EP2-BATCHLBL,Lubri-Lab Top 5 EP2 - Master box batch label,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LLT5EP2-BLKCAP,Lubri-Lab-owned black cap for grease cartridges,BOX,EA,Box,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LLT5EP2-CRTG,Lubri-Lab Top 5 EP2 - 400 g tube,"Tube, BOX",EA,Box,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LLT5EP2C50,Lubri-Lab Top 5 EP2 - 5×10×400 g case (G-2125-2),Case,Case,Case,0,Active,Assembled,0.000000,$0.120800,$0.000000
LMX77,Tarrli LMX-77 Super Bearing Grease - 6×10×400 g case,"Case, CASE60",CASE60,CASE60,1,Active,Assembled,0.000000,$0.120800,$0.081600
LMX77TUBE,Tarrli LMX-77 Super Bearing Grease - 400 g tube,"Tube, BOX",Each,Box,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LMX77WHITECAPS,Tarrli LMX-77 Super Bearing Grease - White caps,BOX,Each,Box,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LOCATION SAMPLE,Location sample test,KG,kg,kg,1,Active,Raw Material,0.000000,$0.000000,$0.000000
LOCK & PRESS ENVELOPES,"LOCK & PRESS ENVELOPES 9X 12"" 500/carton",BOX,Box,Box,0,Active,Raw Material,0.000000,$196.000000,$0.000000
LOW TEMP EP-0 MIX FRMULA,LOW TEMP EP-0 MIX Formulation- 1 kg,1kg,EA,EA,0,Active,Assembled,0.000000,$5.926000,$0.000000
LS 2T SEMI-SYN 2C B 12X1,2T SEMI-SYNTHETIC 2C BLUE 12x1L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$32.568989,$0.000000
LS 2T SEMI-SYN BL 48X100,CC 2T SEMI-SYNTHETIC BLUE 48x100ml CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$15.483150,$0.000000
LS 2T SS 2C B 12X1 LBL-B,Lyster 2T 2C SS BL 12x1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,124.000000",$0.185200,$0.000000
LS 2T SS 2C B 12X1 LBL-F,Lyster 2T 2C SS BL 12x1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,103.000000",$0.185200,$0.000000
LS 2T SS BL 48X100 LBL-B,Lyster 2T SS BL 48x100ml LBL,N/A,EA,EA,0,Active,Raw Material,"2,534.000000",$0.018800,$0.000000
LS 2T SS BL 48X100 LBL-F,Lyster 2T SS BL 48x100ml LBL Front,N/A,EA,EA,0,Active,Raw Material,"2,537.000000",$0.018800,$0.000000
LS SAE30 4T 12X600 LBL-B,Lyster SAE30 4T 12x600ml LBL Back,N/A,EA,EA,0,Active,Raw Material,425.000000,$0.183200,$0.000000
LS SAE30 4T 12X600 LBL-F,Lyster SAE30 4T 12x600ml LBL front,N/A,EA,EA,0,Active,Raw Material,441.000000,$0.183200,$0.000000
LS SAE30 4T 8X1.4L CASE,CC SAE30 4T 8x1.4L CASE,Case,Case,Case,0,Active,Assembled,0.000000,$25.930490,$0.000000
LS SAE30 4T 8X1.4L LBL-B,Lyster SAE30 4T 8x1.4L LBL,N/A,EA,EA,0,Active,Raw Material,112.000000,$0.104500,$0.000000
LS SAE30 4T 8X1.4L LBL-F,Lyster SAE30 4T 8x1.4L LBL,N/A,EA,EA,0,Active,Raw Material,40.000000,$0.104500,$0.000000
LS SAE30 4T12X600 CASE,SAE30 4T 12X600ml CASE,Case,Case,Case,0,Active,Assembled,0.000000,$22.593374,$0.000000
LS SL B&C 4X4L LBL-B,Lyster Bar & Chain 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,888.000000,$0.241000,$0.000000
LS SL B&C 4X4L LBL-F,Lyster Bar & Chain 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,905.000000,$0.241000,$0.000000
LS SL BAR & CHAIN 4X4L C,SL BAR & CHAIN Oil 4X4L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$31.534504,$0.000000
LUBRISTAY GT-25 DRM,LUBRISTAY GT-25 DRUM- 192.8 kg (GY-25 Synester),"8kg, Drum, KG",KG,DRUM,0,Active,Raw Material,0.000000,$9.995089,$9.787500
LUBRIZOL 400 DRUM,LUBRIZOL 400 DRUM -185 kg,"185kg, Drum, KG",kg,Drum,0,Active,Raw Material,0.000000,$34.734100,$0.000000
LUBRIZOL8056MDRM,Lubrizol 8056M - 184.16 kg drum,"16kg, Drum, KG",KG,DRUM,0,Active,Raw Material,404.200000,$7.101800,$7.101800
LUBRIZOL8090DRM,Lubrizol 8090 - 196.41 kg drum,"41kg, Drum, KG",KG,DRUM,0,Active,Raw Material,427.420000,$4.975900,$4.975900
LZ 2C FULL-SYN BL 24X3.4,Laser 2 Cycle Full Syn BL 24x3.4 -42611,CASE,Case,Case,1,Active,Assembled,0.000000,$10.266058,$0.000000
LZ 2T SEMI-SYN BL 24X3.4,Laser 2 Cycle Premium Smokeless Oil - 24×3.4 oz case (42612),Case,Case,Case,1,Active,Assembled,0.000000,$9.708684,$0.000000
LZ 2T SEMI-SYN BL 24X6.8,Laser 2 Cycle Premium Smokeless Oil - 24×6.8 oz case (42605),Case,Case,Case,1,Active,Assembled,0.000000,$13.521780,$0.000000
LZ 2T SEMI-SYN BL 6X946,Laser 2 Cycle Premium Smokeless Oil - 6×946 ml case (42615),Case,Case,Case,1,Active,Assembled,0.000000,$16.824486,$0.000000
LZ 2T SSB 24X3.4 BOX LBL,PT# 42612 Laser 2T Semi-Syn Blue 24x3.4ox Box Label,N/A,EA,EA,0,Active,Raw Material,17.000000,$0.457000,$0.000000
LZ 2T SSB 24X3.4OZ LBL-B,PT# 42612 Laser 2T Semi-Syn Blue 24x3.4 oz LBL-Back,N/A,EA,EA,0,Active,Raw Material,"1,620.000000",$0.054800,$0.000000
LZ 2T SSB 24X3.4OZ LBL-F,PT# 42612 Laser 2T Semi-Syn Blue 24x3.4 oz LBL-Front,N/A,EA,EA,0,Active,Raw Material,"1,822.000000",$0.054800,$0.000000
LZ 2T SSB 24X6.8 BOX LBL,PT# 42605 Laser 2T Semi-Syn Blue 24x6.8oz Box Label,N/A,EA,EA,0,Active,Raw Material,728.000000,$0.570000,$0.000000
LZ 2T SSB 24X6.8OZ LBL-B,PT# 42605 Laser 2T Semi-Syn Blue 24x6.8 oz LBL-Back,N/A,EA,EA,0,Active,Raw Material,"2,884.000000",$0.079900,$0.000000
LZ 2T SSB 24X6.8OZ LBL-F,PT# 42605 Laser 2T Semi-Syn Blue 24x6.8 oz LBL-Front,N/A,EA,EA,0,Active,Raw Material,"2,939.000000",$0.079900,$0.000000
LZ 2T SSB 6X946 ML LBL B,PT# 42615 Laser 2T Semi-Syn Blue 6X946 ml LBL - B,N/A,EA,EA,0,Active,Raw Material,355.000000,$0.192000,$0.000000
LZ 2T SSB 6X946 ML LBL F,PT# 42615 Laser 2T Semi-Syn Blue 6X946 ml LBL - F,N/A,EA,EA,0,Active,Raw Material,470.000000,$0.192000,$0.000000
LZ 2T SSB 6X946ML BOX LB,PT# 42615 Laser 2T Semi-Syn Blue 6X946 ml Box LBL,N/A,EA,EA,0,Active,Raw Material,408.000000,$0.700000,$0.000000
M 800 KRI LEWATIT,M 800 KR I LEWATIT MONOPLUS-RESINS,N/A,EA,EA,0,Active,Raw Material,0.000000,$13.248250,$0.000000
MACHINE TAPE,Machine Length Tape,BOX,box,box,0,Active,Raw Material,0.000000,$132.600000,$0.000000
MACHINE-CARTON SEALING,MACHINE CARTON SEALING,N/A,EA,EA,0,Active,Raw Material,0.000000,"$2,650.000000","$2,650.000000"
MAGNOLIA2446,Magnolia 2446 - 200 lb drum,"Drum, LBS",LBS,DRUM,1,Active,Raw Material,143.344000,$20.502500,$13.950000
MAIN BATTERY BOARD,MAIN BATTERY BOARD REPAIRS,1,1,EA,0,Active,Raw Material,0.000000,$14.850000,$0.000000
MEK CLEANING SOLUTION,MEK cleaning solution,CASE,CASE,CASE,1,Active,Raw Material,2.000000,$288.000000,$219.000000
MENS LAB COAT,Mens lab coat,"1, 45",1,45,0,Active,Raw Material,0.000000,$4.000000,$0.000000
METAL BY IPC KINECTRICS,Microwave acid digestion followed by ICP-AES (MOV testing),N/A,EA,EA,1,Active,Raw Material,0.000000,$50.000000,$50.000000
METAL BY IPC-PETRO LAB,ICP by ash and acid digestion (MOV testing),N/A,EA,EA,1,Active,Raw Material,0.000000,$95.000000,$95.000000
METAL TOTES-MOV,Model Steltight Grease Bin - 1586 L,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MGG-450 GLUE GUN,"GLUE GUN, MOTOR, 450Watt",N/A,EA,EA,0,Active,Raw Material,0.000000,$467.650000,$467.650000
MH-0W-20 FULL SYN B 4X5L,Route-19 SAE 0W-20 FULL SYN APEX 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-0W-20 FULL SYN B BULK,Route-19 SAE 0W-20 FULL SYN BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-0W-20 FULLSYN BACK L,Route-19 SAE 0W-20 FULL SYN APEX 4x5 L BACK LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-0W-20 FULLSYN FRONT L,Route-19 SAE 0W-20 FULL SYN APEX 4x5 L FRONT LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-10W-30 SYN BLEND 4X5L,MH-10W-30 SYN BLEND 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-10W-30 SYN BLEND BULK,MH-10W30B 10W-30 SYN BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-10W-30 SYN FRONTLABEL,MH-MANN103SBFLAB 10W-30 SYN BLEND 4x5 L,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5L BLACK CAP,MH-MANN5LCAP 5 L BLACK CAP,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5L BOTTLE MANN5LBOT,Route-19 Grey RTE19  5 L BOTTLE,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5L GOLD CAP,Route-19 RTE19 5 L GOLD CAP,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5L SILVER CAP,MH-MANN5LCAP 5 L SILVER CAP,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-20 FULL SYN 4X5L C,Route-19 SAE 5W-20 FULL SYN APEX 4X5L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-5W-20 FULL SYN B BULK,Route-19 SAE 5W-20 FULL SYN BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-20 FULLSYN BACK L,Route-19 SAE 5W-20 FULL SYN APEX 4x5 L BACK LABEL,N/A,,,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-20 FULLSYN FRONT L,Route-19 SAE 5W-20 FULL SYN APEX 4x5 L FRONT LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-20 SYN BLEND 4X5L,MH-5W-20 SYN BLEND 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-5W-20 SYN BLEND BULK,MH-5W20B 5W-20 SYN BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-20 SYN FRONT LABEL,MH-MANN520SBFLAB 5W-20 SYN BLEND 4x5 L,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 EURO 4X5L CASE,MH-5W-30 EURO 504 & 507 Spec 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-5W-30 EURO BLEND BULK,MH-5W30EURO 5W-30 EURO BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 EURO FRONTLABEL,MH-MANN530EUSYNFLAB 5W-30 EURO 4x5 L FRONT LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 FULL SYN 4X5L C,Route-19 SAE 5W-30 FULL SYN APEX 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-5W-30 FULL SYN B BULK,Route-19 SAE 5W-30 FULL SYN BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 FULLSYN BACK L,Route-19 SAE 5W-30 FULL SYN APEX 4x5 L BACK LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 FULLSYN FRONT L,Route-19 SAE 5W-30 FULL SYN APEX 4x5 L FRONT LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 SYN BLEND 4X5L,MH-5W-30 SYN BLEND 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-5W-30 SYN BLEND BULK,MH-5W30B 5W-30 SYN BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-30 SYN FRONT LABEL,MH-MANN530SBFLAB 5W-30 SYN BLEND 4x5 L,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-40 EURO 4X5L CASE,MH-5W-40 EURO API SN-RC/GF-6 4X5 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$0.000000,$0.000000
MH-5W-40 EURO BLEND BULK,MH-5W40EURO 5W-40 EURO BLEND BULK,LITER,LITER,LITER,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-5W-40 EURO FRONTLABEL,MH-MANN540EUSYNFLAB 5W-40 EURO 4x5 L FRONT LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-CARTON MANN4X5LCAR,Route-19- RTE19 CARTON 4x5 L,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-FULLSYN & EURO BACK L,MH-MANNSYNBLAB FULL SYN & EURO BACK LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-PALLET 48X40 NB,Route19- NB 48x40 PALLET,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MH-SYN BLEND BACK LABEL,MH-MANNSBBLAB SYN BLEND BACK LABEL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
MINT FRAGRANCE,Mint Odor Mask Fragrance,"LBS, CAN",lbs,Can,0,Active,Raw Material,46.000000,$11.374000,$11.374000
MISCELLANEOUS WORK,Miscellaneous work,N/A,EA,EA,0,Active,Raw Material,0.000000,$50.000000,$0.000000
MOLY TECH FINE LABEL,Lanxess Moly Tech Fine Pail Label,Pail,EA,EA,0,Active,Raw Material,759.000000,$0.000000,$0.000000
MOLY TECH FINE PAIL,LANXESS MOLY TECH FINE PAIL,Pail,EA,EA,0,Active,Assembled,0.000000,$0.000000,$0.000000
MOLY TECH FINE-DRM LANX,MOLYBDENUM DISULFIDE TECH-FINE DRUM 250 lbs Lanxess,"Drum, LBS",LBS,DRUM,1,Active,Raw Material,987.000000,$0.000000,$0.000000
MOLYFM2543,MOLYFM 2543,"KG, CAN",KG,CAN,1,Active,Raw Material,0.000000,$7.920000,$7.920000
MOLYVAN855,MOLYVAN 855 for 925 Clear,"LBS, CAN",LBS,CAN,1,Active,Raw Material,0.000000,$16.500000,$16.500000
MONOETHAN,MONO ETHANOL AMINE,"KG, DRUM",KG,DRUM,1,Active,Raw Material,69.200000,$3.100000,$3.100000
MOSIER TUBE W/YORKER CAP,MOSIER TUBE W/YORKER CAP,Tube,EA,EA,0,Active,Raw Material,"8,039.000000",$0.000000,$0.000000
MOVEX1DRM,MOV Extra 1 - 180 kg drum (G-2032-1),"180kg, Drum",DRUM,DRUM,1,Active,Assembled,0.000000,"$1,324.800000",$964.800000
MOVEXT0C30TUBECASE,MOV Extra 0 - 3×10×400 g case (G-2032-0),Case,CASE,CASE,1,Active,Assembled,10.000000,$101.719822,$75.158740
MOVEXT0DRM,MOV Extra 0 - 180 kg drum (G-2032-0),"180kg, Drum",DRUM,DRUM,1,Active,Assembled,0.000000,"$1,324.800000",$964.800000
MOVEXT0K55KG,MOV Extra 0 - 55 kg keg (G-2032-0),"55kg, Keg",KEG,KEG,1,Active,Assembled,0.000000,$444.100000,$330.860000
